uf;codigo;estacao;lat;lon;alt;ano_mes;prec;dias_chuva;pmax_dia;tmed;tmax_med;tmin_med;tmax_abs;tmin_abs;umid;umin;rad;vel;raj;dias_geada;dias_calor;cob_prec;cob_temp
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-01;130,4;13,0;50,2;23,7;31,1;18,4;35,6;14,5;72,0;17,0;21,2;2,1;15,6;0,0;13,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-02;58,0;2,0;55,8;24,0;32,0;18,1;35,4;15,0;69,0;21,0;21,3;1,8;14,7;0,0;14,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-03;198,6;14,0;39,2;22,3;28,0;18,7;33,1;16,0;80,0;32,0;15,7;1,7;14,9;0,0;3,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-04;104,4;8,0;53,4;21,5;27,3;17,5;34,7;10,4;82,0;28,0;14,9;1,5;15,3;0,0;3,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-05;38,4;5,0;27,6;19,7;26,1;15,5;31,5;7,2;82,0;27,0;13,4;1,4;12,4;0,0;0,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-06;10,2;4,0;3,2;18,1;25,4;12,5;29,0;7,4;81,0;31,0;14,0;1,6;12,3;0,0;0,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-07;;;;;;;;;;;14,6;;;;;61,0;61,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-08;;;;;;;;;;;;;;;;0,0;0,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-09;;;;;;;;;;;;;;;;0,0;0,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-10;;;;23,1;30,6;17,9;40,3;11,9;68,0;11,0;16,0;2,5;18,1;0,0;8,0;77,0;77,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-11;209,0;15,0;56,8;21,3;27,3;17,3;32,5;12,9;80,0;27,0;17,5;2,1;12,0;0,0;1,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2020-12;40,8;3,0;31,2;22,7;30,5;16,6;33,2;11,5;70,0;26,0;23,4;2,0;13,0;0,0;4,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2021-01;48,4;5,0;21,8;23,1;31,1;17,0;34,3;13,2;68,0;14,0;21,5;2,2;14,3;0,0;8,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2021-02;110,4;10,0;21,6;22,6;29,1;18,4;33,3;15,4;77,0;32,0;17,4;1,8;13,8;0,0;6,0;100,0;100,0
MG;A549;Aguas Vermelhas;-15.7515;-41.4578;754.07;2021-03;3,2;2,0;2,0;22,0;32,0;14,3;36,8;10,9;68,0;14,0;22,7;1,6;12,5;0,0;13,0;100,0;100,0
